dbn,score,travel_time,geom
10X268,2.64,90.15,POINT (-73.8983089999999976 40.8702929999999967)
06M552,2.99,77.0,POINT (-73.9386420000000015 40.8381669999999986)
11X542,2.81,99.45,POINT (-73.8610060000000033 40.8596649999999997)
03M541,3.3,62.233333333333334,POINT (-73.9847529999999978 40.7743510000000029)
05M499,3.05,79.28333333333333,POINT (-73.9371199999999931 40.8243190000000027)
14K477,2.7,56.1,POINT (-73.9397220000000033 40.7121840000000006)
22K425,2.51,37.25,POINT (-73.9485119999999938 40.6099120000000013)
31R064,3.41,83.93333333333334,POINT (-74.1585890000000063 40.5813149999999965)
32K545,3.08,57.8,POINT (-73.9291070000000019 40.6945070000000015)
02M399,3.28,53.11666666666667,POINT (-73.9876589999999936 40.7354940000000028)
11X288,2.28,99.45,POINT (-73.8610060000000033 40.8596649999999997)
12X511,3.49,82.31666666666666,POINT (-73.8904579999999953 40.8359000000000023)
01M696,2.69,66.78333333333333,POINT (-73.9758910000000043 40.7190289999999990)
21K620,3.51,55.166666666666664,POINT (-73.9634769999999975 40.5825850000000017)
02M534,2.99,54.78333333333333,POINT (-73.9948579999999936 40.7365179999999967)
17K531,1.86,33.65,POINT (-73.9424580000000020 40.6588929999999991)
02M605,2.69,60.06666666666667,POINT (-74.0021359999999930 40.7428669999999968)
22K611,3.16,36.55,POINT (-73.9376960000000025 40.5941240000000008)
02M392,3.27,60.06666666666667,POINT (-74.0021359999999930 40.7428669999999968)
10X546,3.44,96.68333333333334,POINT (-73.9122559999999993 40.8771050000000002)
03M859,3.79,62.233333333333334,POINT (-73.9847529999999978 40.7743510000000029)
18K567,3.7,42.483333333333334,POINT (-73.9167350000000027 40.6332850000000008)
12X478,4.24,94.53333333333333,POINT (-73.8777850000000029 40.8314159999999973)
13K595,3.01,34.583333333333336,POINT (-73.9543019999999984 40.6853800000000021)
02M418,3.96,47.68333333333333,POINT (-74.0115559999999988 40.7044870000000003)
10X243,3.97,114.5,POINT (-73.8882669999999990 40.8600429999999974)
08X293,3.06,95.9,POINT (-73.8385449999999963 40.8407020000000003)
12X267,3.28,99.28333333333333,POINT (-73.9001049999999964 40.8277429999999981)
03M860,4.75,77.13333333333334,POINT (-73.9541420000000045 40.8022070000000028)
04M435,4.08,78.61666666666666,POINT (-73.9340279999999979 40.7938559999999981)
17K600,3.01,28.916666666666668,POINT (-73.9619619999999998 40.6695670000000007)
11X270,3.16,118.41666666666667,POINT (-73.8526939999999996 40.8878309999999985)
18K563,3.28,34.4,POINT (-73.9221710000000058 40.6486570000000000)
05M369,3.1,71.86666666666666,POINT (-73.9553250000000020 40.8152559999999980)
03M479,3.84,73.83333333333333,POINT (-73.9958019999999976 40.7614519999999985)
03M307,2.56,62.233333333333334,POINT (-73.9847529999999978 40.7743510000000029)
28Q284,2.74,82.85,POINT (-73.7871920000000046 40.6971899999999991)
10X264,3.83,95.08333333333333,POINT (-73.8827150000000046 40.8556979999999967)
25Q252,3.78,90.7,POINT (-73.8102159999999969 40.7244579999999985)
25Q241,3.74,87.76666666666667,POINT (-73.8278899999999965 40.7651660000000007)
02M408,2.53,59.266666666666666,POINT (-73.9880189999999942 40.7614480000000015)
28Q328,2.6,89.13333333333334,POINT (-73.7972369999999955 40.7132179999999977)
13K605,2.73,43.18333333333333,POINT (-73.9860149999999948 40.6949260000000024)
11X275,3.23,100.55,POINT (-73.8619699999999995 40.8759530000000026)
30Q450,2.99,79.15,POINT (-73.9328000000000003 40.7658259999999970)
02M298,1.71,44.93333333333333,POINT (-73.9930920000000043 40.7165529999999976)
19K764,3.07,66.73333333333333,POINT (-73.8683280000000053 40.6911460000000034)
02M580,2.5,39.61666666666667,POINT (-74.0129770000000065 40.7050240000000016)
12X388,2.98,96.13333333333334,POINT (-73.8789119999999997 40.8316009999999991)
08X452,4.58,100.93333333333334,POINT (-73.8561669999999992 40.8222900000000024)
01M539,3.26,67.98333333333333,POINT (-73.9793080000000032 40.7188950000000034)
02M427,4.31,54.63333333333333,POINT (-73.9812409999999971 40.7461759999999984)
28Q690,3.53,92.31666666666666,POINT (-73.7841439999999977 40.6862080000000006)
02M376,4.02,55.6,POINT (-74.0046250000000043 40.7244000000000028)
09X568,4.32,90.78333333333333,POINT (-73.9084270000000032 40.8485159999999965)
17K122,4.03,58.833333333333336,POINT (-73.9388430000000056 40.6756120000000010)
22K405,4.35,24.85,POINT (-73.9529289999999975 40.6332370000000012)
10X524,2.76,95.08333333333333,POINT (-73.8827150000000046 40.8556979999999967)
08X320,4.36,95.9,POINT (-73.8385449999999963 40.8407020000000003)
07X223,4.9,73.2,POINT (-73.9207820000000027 40.8139830000000003)
02M414,4.86,50.7,POINT (-74.0021980000000070 40.7421289999999985)
29Q327,3.58,85.31666666666666,POINT (-73.7789230000000060 40.6917120000000025)
24Q610,3.3,73.36666666666666,POINT (-73.9290759999999949 40.7435090000000031)
02M500,4.35,54.63333333333333,POINT (-73.9812409999999971 40.7461759999999984)
19K618,3.37,66.73333333333333,POINT (-73.8683280000000053 40.6911460000000034)
02M419,4.86,60.06666666666667,POINT (-74.0021359999999930 40.7428669999999968)
20K609,4.23,48.71666666666667,POINT (-73.9815279999999973 40.6348750000000010)
13K670,3.03,53.65,POINT (-73.9692430000000058 40.6953320000000005)
09X231,2.89,96.73333333333333,POINT (-73.8970499999999930 40.8449579999999983)
28Q325,2.97,89.13333333333334,POINT (-73.7972369999999955 40.7132179999999977)
10X438,3.31,114.5,POINT (-73.8882669999999990 40.8600429999999974)
11X265,3.28,100.55,POINT (-73.8619699999999995 40.8759530000000026)
19K659,3.8,66.73333333333333,POINT (-73.8683280000000053 40.6911460000000034)
15K464,2.96,43.96666666666667,POINT (-73.9792869999999994 40.6696290000000005)
28Q896,2.97,95.45,POINT (-73.8064119999999946 40.7075269999999989)
14K488,3.45,65.13333333333334,POINT (-73.9547539999999941 40.7150729999999967)
14K558,3.01,65.13333333333334,POINT (-73.9547539999999941 40.7150729999999967)
08X559,3.56,84.53333333333333,POINT (-73.9035460000000057 40.8216749999999990)
17K537,4.3,37.1,POINT (-73.9585500000000025 40.6497870000000034)
26Q415,3.2,105.88333333333334,POINT (-73.7559899999999971 40.7523330000000001)
19K409,3.57,53.766666666666666,POINT (-73.8869420000000048 40.6610719999999972)
04M610,3.62,69.48333333333333,POINT (-73.9474280000000022 40.7927409999999995)
10X225,2.98,95.73333333333333,POINT (-73.8967169999999953 40.8544929999999979)
12X682,3.93,85.75,POINT (-73.8862599999999929 40.8308699999999973)
24Q264,2.56,66.78333333333333,POINT (-73.9366349999999954 40.7450949999999992)
13K483,3.07,37.483333333333334,POINT (-73.9888530000000060 40.6946820000000002)
29Q498,4.19,100.13333333333334,POINT (-73.7457279999999997 40.6978190000000026)
09X413,3.54,86.01666666666667,POINT (-73.9109100000000012 40.8404219999999967)
03M402,4.89,68.18333333333334,POINT (-73.9746140000000025 40.7858030000000014)
27Q480,4.17,64.0,POINT (-73.8372980000000041 40.6796390000000017)
02M489,2.05,48.75,POINT (-74.0120220000000018 40.7091959999999986)
02M300,3.08,72.38333333333334,POINT (-73.9929530000000000 40.7651839999999979)
30Q258,3.35,67.7,POINT (-73.9326640000000026 40.7570649999999972)
11X509,2.57,99.45,POINT (-73.8610060000000033 40.8596649999999997)
07X221,3.46,73.2,POINT (-73.9207820000000027 40.8139830000000003)
22K555,2.28,40.88333333333333,POINT (-73.9717360000000070 40.6494039999999970)
21K344,2.42,50.18333333333333,POINT (-73.9731320000000068 40.5825329999999980)
04M680,3.18,67.71666666666667,POINT (-73.9465579999999960 40.7918809999999965)
02M600,3.49,57.03333333333333,POINT (-73.9960739999999930 40.7451560000000015)
24Q530,4.02,73.6,POINT (-73.9336399999999969 40.7444119999999970)
02M519,4.58,66.75,POINT (-73.9600590000000011 40.7653589999999966)
02M507,4.13,61.86666666666667,POINT (-73.9905930000000041 40.7633700000000019)
10X141,3.97,103.1,POINT (-73.9134860000000060 40.8883379999999974)
02M400,2.8,63.85,POINT (-73.9875310000000042 40.7677910000000026)
08X348,3.83,95.9,POINT (-73.8385449999999963 40.8407020000000003)
31R047,3.55,83.93333333333334,POINT (-74.1585890000000063 40.5813149999999965)
14K586,3.82,67.21666666666667,POINT (-73.9436409999999995 40.7099410000000006)
13K430,2.76,38.96666666666667,POINT (-73.9769050000000021 40.6888339999999999)
